lakeid,sampledate,depth,rep,sta,event,dic,tic,doc,toc,totpf,totpuf,totpuf_sloh,drp_sloh
"ME",2003-10-27,15.00,1,1,,,,,,,,,
"ME",2003-10-27,16.00,1,1,,,,,,,,,
"ME",2003-10-27,17.00,1,1,,,,,,,,,
"ME",2003-10-27,18.00,1,1,,,,,,,,,
"ME",2003-10-27,19.00,1,1,,,,,,,,,
"ME",2003-10-27,20.00,1,1,,50.48,49.50,5.93,6.31,,,0.133,0.105
"ME",2003-10-27,21.00,1,1,,,,,,,,,
"ME",2003-10-27,22.00,1,1,,,,,,,,,
"ME",2003-10-27,23.00,1,1,,,,,,,,,
"ME",2003-10-27,24.00,1,1,,,,,,,,,
"ME",2003-10-27,24.30,1,1,,,,,,,,,
